year,Coal Consumed by the Residential Sector,Natural Gas Consumed by the Residential Sector,Petroleum Consumed by the Residential Sector,Total Fossil Fuels Consumed by the Residential Sector,Geothermal Energy Consumed by the Residential Sector,Solar Energy Consumed by the Residential Sector,Biomass Energy Consumed by the Residential Sector,Total Renewable Energy Consumed by the Residential Sector,Total Primary Energy Consumed by the Residential Sector,Electricity Retail Sales to the Residential Sector,Residential Sector Electrical System Energy Losses,Total Energy Consumed by the Residential Sector,Coal Consumed by the Commercial Sector,Natural Gas Consumed by the Commercial Sector,Petroleum Consumed by the Commercial Sector,Total Fossil Fuels Consumed by the Commercial Sector,Conventional Hydroelectric Power Consumed by the Commercial Sector,Geothermal Energy Consumed by the Commercial Sector,Solar Energy Consumed by the Commercial Sector,Wind Energy Consumed by the Commercial Sector,Biomass Energy Consumed by the Commercial Sector,Total Renewable Energy Consumed by the Commercial Sector,Total Primary Energy Consumed by the Commercial Sector,Electricity Retail Sales to the Commercial Sector,Commercial Sector Electrical System Energy Losses,Total Energy Consumed by the Commercial Sector,Coal Consumed by the Industrial Sector,Natural Gas Consumed by the Industrial Sector,Petroleum Consumed by the Industrial Sector,Total Fossil Fuels Consumed by the Industrial Sector,Conventional Hydroelectric Power Consumed by the Industrial Sector,Geothermal Energy Consumed by the Industrial Sector,Solar Energy Consumed by the Industrial Sector,Wind Energy Consumed by the Industrial Sector,Biomass Energy Consumed by the Industrial Sector,Total Renewable Energy Consumed by the Industrial Sector,Total Primary Energy Consumed by the Industrial Sector,Electricity Retail Sales to the Industrial Sector,Industrial Sector Electrical System Energy Losses,Total Energy Consumed by the Industrial Sector,Coal Consumed by the Transportation Sector,Natural Gas Consumed by the Transportation Sector,Petroleum Consumed by the Transportation Sector,Total Fossil Fuels Consumed by the Transportation Sector,Biomass Energy Consumed by the Transportation Sector,Total Primary Energy Consumed by the Transportation Sector,Electricity Retail Sales to the Transportation Sector,Transportation Sector Electrical System Energy Losses,Total Energy Consumed by the Transportation Sector,Coal Consumed by the Electric Power Sector,Natural Gas Consumed by the Electric Power Sector,Petroleum Consumed by the Electric Power Sector,Total Fossil Fuels Consumed by the Electric Power Sector,Nuclear Electric Power Consumed by the Electric Power Sector,Conventional Hydroelectric Power Consumed by the Electric Power Sector,Geothermal Energy Consumed by the Electric Power Sector,Solar Energy Consumed by the Electric Power Sector,Wind Energy Consumed by the Electric Power Sector,Biomass Energy Consumed by the Electric Power Sector,Total Renewable Energy Consumed by the Electric Power Sector,Electric Power Sector Electricity Net Imports,Total Primary Energy Consumed by the Electric Power Sector
1949,1271.551,1027.283,1106.568,3405.402,,,1055.186,1055.186,4460.588,227.894,910.922,5599.404,1554.118,359.992,734.814,2648.923,,,,,19.986,19.986,2668.909,200.104,799.843,3668.856,5433.101,3188.492,3460.717,12075.639,75.537,,,,468.287,543.824,12619.463,418.28,1671.92,14709.664,1727.246,,6152.265,7879.511,,7879.511,22.114,88.392,7990.017,1995.055,569.375,414.632,2979.062,0,1349.185,,,,5.803,1354.988,5.42,4339.47
1950,1261.267,1240.312,1322.42,3823.999,,,1005.529,1005.529,4829.528,246.348,912.869,5988.744,1541.548,401.412,872.108,2815.069,,,,,19.075,19.075,2834.144,225.094,834.11,3893.348,5781.23,3545.775,3942.551,13270.548,69.396,,,,532.237,601.633,13872.181,499.785,1852.011,16223.978,1563.933,129.94,6689.537,8383.41,,8383.41,23.178,85.888,8492.476,2199.111,650.931,471.666,3321.708,0,1346.015,,,,5.466,1351.481,6.094,4679.283
1951,1158.679,1526.34,1461.449,4146.468,,,958.212,958.212,5104.68,283.513,992.204,6380.397,1306.595,480.56,932.385,2719.54,,,,,18.198,18.198,2737.738,252.36,883.181,3873.28,6202.033,4051.75,4258.378,14490.709,63.097,,,,552.928,616.025,15106.734,566.965,1984.198,17657.898,1378.693,199.233,7355.565,8933.492,,8933.492,24.093,84.316,9041.9,2506.808,790.635,399.898,3697.34,0,1360.698,,,,5.331,1366.029,7.461,5070.83
1952,1079.206,1678.735,1501.301,4259.242,,,899.164,899.164,5158.406,319.175,1082.875,6560.456,1169.14,533.717,952.996,2655.854,,,,,17.114,17.114,2672.968,273.287,927.188,3873.442,5516.614,4180.739,4350.829,14036.303,61.538,,,,551.656,613.194,14649.497,600.947,2038.851,17289.295,984.04,214.459,7708.402,8906.901,,8906.901,21.823,74.038,9002.762,2557.397,941.971,420.367,3919.734,0,1404.274,,,,6.435,1410.709,7.74,5338.183
1953,965.664,1744.496,1510.642,4220.802,,,831.947,831.947,5052.749,355.347,1150.886,6558.982,965.664,549.223,981.813,2496.7,,,,,15.738,15.738,2512.438,296.928,961.679,3771.044,5931.042,4304.08,4466.504,14692.624,56.506,,,,565.897,622.403,15315.027,677.685,2194.864,18187.575,732.992,238.375,8058.702,9030.068,,9030.068,21.932,71.034,9123.035,2777.361,1070.472,514.299,4362.131,0,1356.353,,,,5.019,1361.372,6.852,5730.355
1954,858.255,1960.547,1644.005,4462.807,,,799.748,799.748,5262.555,396.571,1187.18,6846.306,824.598,605.43,1012.443,2442.472,,,,,15.17,15.17,2457.642,319.346,955.998,3732.985,4729.559,4319.248,4617.002,13659.063,55.678,,,,576.2,631.878,14290.941,711.282,2129.303,17131.525,461.404,238.687,8122.475,8822.565,,8822.565,20.048,60.017,8902.631,2840.759,1206.291,417.409,4464.458,0,1304.094,,,,3.209,1307.303,7.983,5779.745
1955,867.431,2198.29,1767.285,4833.007,,,775.066,775.066,5608.073,438.103,1232.073,7278.249,800.706,651.242,1094.67,2546.618,,,,,14.706,14.706,2561.324,349.891,983.997,3895.212,5619.559,4700.929,5093.213,15403.656,38.149,,,,631.137,669.286,16072.942,887.033,2494.595,19454.57,421.262,253.83,8799.353,9474.444,,9474.444,19.877,55.901,9550.223,3458.271,1193.644,470.747,5122.663,0,1321.695,,,,3.234,1324.929,13.879,6461.471
1956,838.91,2409.029,1853.019,5100.958,,,738.706,738.706,5839.664,489.542,1333.8,7663.006,714.627,741.961,1136.324,2592.912,,,,,14.018,14.018,2606.93,380.177,1035.828,4022.935,5666.866,4873.967,5316.727,15844.54,36.751,,,,661.409,698.16,16542.7,975.653,2658.253,20176.606,339.821,306.331,9144.19,9790.341,,9790.341,18.537,50.506,9859.385,3789.674,1282.687,454.719,5527.079,0,1397.96,,,,1.738,1399.698,15.519,6942.296
1957,653.734,2587.778,1800.865,5042.377,,,701.812,701.812,5744.189,534.74,1433.36,7712.289,534.873,803.073,1098.091,2436.037,,,,,13.33,13.33,2449.367,410.679,1100.817,3960.863,5535.641,5107.288,5215.308,15840.778,35.521,,,,616.431,651.952,16492.73,1003.093,2688.771,20184.594,241.264,309.708,9285.743,9836.715,,9836.715,16.187,43.388,9896.29,3855.246,1382.906,498.383,5736.534,0.112,1480.092,,,,2.008,1482.1,12.288,7231.035
1958,663.496,2809.25,1964.488,5437.234,,,688.447,688.447,6125.681,578.308,1496.996,8200.985,500.532,902.286,1141.379,2544.197,,,,,13.089,13.089,2557.286,435.256,1126.695,4119.237,4532.752,5207.612,5385.888,15119.531,37.162,,,,619.647,656.809,15776.34,977.708,2530.878,19284.926,115.156,323.149,9513.722,9952.027,,9952.027,14.517,37.579,10004.123,3721.34,1420.903,485.713,5627.956,1.915,1554.805,,,,1.94,1556.745,11.32,7197.936
1959,573.321,3014.542,1953.891,5541.754,,,646.926,646.926,6188.68,629.664,1593.891,8412.235,415.164,1009.236,1212.793,2637.192,,,,,12.298,12.298,2649.49,487.86,1234.936,4372.286,4412.743,5646.563,5713.001,15763.949,37.003,,,,691.973,728.976,16492.925,1075.239,2721.789,20289.953,87.83,361.575,9848.233,10297.638,,10297.638,14.418,36.498,10348.554,4029.357,1685.507,551.978,6266.842,2.187,1511.462,,,,1.677,1513.139,12.127,7794.295
1960,585.284,3211.778,2227.541,6024.603,,,626.63,626.63,6651.233,687.393,1701.19,9039.816,406.723,1055.93,1248.149,2710.801,,,,,11.868,11.868,2722.669,542.999,1343.837,4609.504,4543.268,5973.307,5719.657,16230.602,38.808,,,,679.864,718.672,16949.274,1106.859,2739.304,20795.437,74.959,359.223,10125.439,10559.621,,10559.621,10.46,25.887,10595.968,4227.551,1785.129,552.715,6565.395,6.026,1569.167,0.359,,,1.508,1571.034,15.474,8157.929
1961,533.611,3362.278,2293.263,6189.153,,,586.864,586.864,6776.017,731.686,1778.728,9286.431,370.815,1114.539,1268.594,2753.948,,,,,11.146,11.146,2765.094,572.042,1390.635,4727.771,4345.141,6169.756,5726.194,16233.205,35.836,,,,695.413,731.249,16964.454,1149.25,2793.827,20907.531,18.927,390.823,10324.009,10733.759,,10733.759,10.316,25.078,10769.153,4354.953,1888.996,557.278,6801.227,19.678,1620.627,1.001,,,1.339,1622.967,7.689,8451.561
1962,520.794,3600.313,2398.966,6520.072,,,560.084,560.084,7080.156,794.32,1908.389,9782.865,361.908,1248.901,1302.551,2913.36,,,,,10.63,10.63,2923.99,620.863,1491.65,5036.503,4384.545,6450.96,5964.327,16794.326,35.99,,,,728.179,764.169,17558.495,1227.821,2949.893,21736.21,16.874,395.883,10772.162,11184.919,,11184.919,10.167,24.426,11219.511,4622.376,2034.783,559.585,7216.744,26.394,1780.151,1.061,,,1.349,1782.561,1.829,9027.528
1963,438.442,3700.281,2414.599,6553.322,,,536.967,536.967,7090.289,855.568,2043.099,9988.955,317.492,1307.084,1286.562,2911.139,,,,,10.165,10.165,2921.304,687.563,1641.903,5250.77,4589.849,6748.069,6192.674,17523.202,33.914,,,,774.843,808.757,18331.959,1287.79,3075.246,22694.994,16.421,436.92,11166.719,11620.061,,11620.061,9.955,23.772,11653.787,5050.213,2210.952,584.707,7845.871,38.147,1737.441,1.76,,,1.341,1740.542,0.334,9624.895
1964,378.72,3908.485,2325.972,6613.177,,,499.058,499.058,7112.235,927.525,2201.298,10241.058,274.245,1418.708,1274.924,2967.878,,,,,9.46,9.46,2977.338,737.79,1750.999,5466.127,4914.603,7113.92,6510.75,18528.832,33.772,,,,826.735,860.507,19389.339,1382.027,3279.969,24051.335,17.403,449.508,11496.364,11963.275,,11963.275,10.011,23.758,11997.044,5379.553,2397.228,633.882,8410.663,39.819,1852.542,2.132,,,1.549,1856.223,6.671,10313.377
1965,351.657,4027.692,2432.426,6811.775,,,468.15,468.15,7279.925,992.935,2367.029,10639.89,265.285,1489.845,1413.038,3168.168,,,,,8.858,8.858,3177.026,788.603,1879.927,5845.556,5126.507,7339.214,6750.202,19197.471,32.757,,,,854.943,887.7,20085.171,1462.817,3487.168,25035.156,15.972,516.541,11866.235,12398.748,,12398.748,9.974,23.776,12432.497,5821.061,2395.376,722.002,8938.439,43.164,2026.32,1.978,,,2.81,2031.108,-0.482,11012.229
